# name,mass,star_name,ra,dec
HD 20782 b,"1,9",HD 20782,"50,0125","-28,8538889"
HATS-30 b,"0,706",HATS-30,"5,61870834283","-59,9425555816"
HD 1690 b,"6,1",HD 1690,"5,3041667","-8,2811111"
WASP-45 b,"1,007",WASP-45,"5,2375","-35,9983333"
HD 1666 b,"6,43",HD 1666,"5,216666684","-19,931111141"
WASP-1 b,"0,86",WASP-1,"5,1666667","31,99"
WASP-20 b,"0,313",WASP-20,"5,16056709618","-23,9357130761"
HD 1605 b,"0,96",HD 1605,"5,133333344","30,974722248"
HD 1605 c,"3,48",HD 1605,"5,133333344","30,974722248"
HD 20794 b,"0,00887",HD 20794,"49,9833333","-43,0697222"
HD 20794 d,"0,0111",HD 20794,"49,9833333","-43,0697222"
HD 20794 e,"0,015",HD 20794,"49,9833333","-43,0697222"
WASP-139 b,"0,117",WASP-139,"49,562500005","-41,30222223"
HD 20367 b,"1,07",HD 20367,"49,4166667","31,1269444"
HAT-P-25 b,"0,567",HAT-P-25,"48,4375","25,1975"
HD 19994 b,"1,68",HD 19994,"48,1916667","-1,1958333"
HIP 14810 b,"3,88",HIP 14810,"47,8083333","21,0972222"
HIP 14810 c,"1,28",HIP 14810,"47,8083333","21,0972222"
HIP 14810 d,"0,57",HIP 14810,"47,8083333","21,0972222"
WASP-11-HAT-P-10 b,"0,46",WASP-11-HAT-P-10,"47,3708333","30,6736111"
HD 20003 b,"0,0378",HD 20003,"46,9083333","-72,3219444"
HD 20003 c,"0,0422",HD 20003,"46,9083333","-72,3219444"
HD 19467 b,52,HD 19467,"46,829166673","-13,761666691"
BD+49 828 b,"1,6",BD+49 828,"45,641666678","49,730000025"
HD 18742 b,"2,7",HD 18742,"45,0458333","-20,8025"
HAT-P-48 b,"0,168",HAT-P-48,"44,470833351","30,625833353"
WASP-50 b,"1,437",WASP-50,"43,6875","-10,8980556"
HD 17674 b,"0,87",HD 17674,"42,7679166681","30,2867500084"
HAT-P-52 b,"0,819",HAT-P-52,"42,720833351","29,022500005"
HD 17156 b,"3,195",HD 17156,"42,4333333","71,7533333"
HIP 12961 b,"0,35",HIP 12961,"41,6791667","-23,0866667"
WASP-138 b,"1,22",WASP-138,"41,6390416778","-0,463888909"
HD 17092 b,"4,6",HD 17092,"41,5916667","49,6530556"
WASP-72 b,"1,461",WASP-72,"41,0417","-30,1692055556"
BD+48 738 b,"0,91",BD +48 738,"40,7083333","49,5869444"
HR 810 b,"2,26",HR 810,"40,6291667","-50,8033333"
Qatar-4 b,"5,85",Qatar-4,"4,858333342","44,027500009"
HD 1502 b,"3,1",HD 1502,"4,8208333","14,0547222"
HD 1461 b,"0,0203",HD 1461,"4,675","-8,0530556"
HD 1461 c,"0,0176",HD 1461,"4,675","-8,0530556"
WASP-26 b,"1,028",WASP-26,"4,6041667","-15,2672222"
GJ 15 A b,"0,0168328980902",GJ 15 A,"4,59535550763","44,0229522831"
GJ 3021 b,"3,37",GJ 3021,"4,05","-79,8511111"
WASP-99 b,"2,78",WASP-99,"39,8958","-50,0081"
81 Cet b,"5,3",81 Cet,"39,425","-3,3961111"
HD 16175 b,"4,77",HD 16175,"39,2583333","42,0625"
HD 16417 b,"0,069",HD 16417,"39,2458333","-34,5780556"
30 Ari B b,"9,88",30 Ari B,"39,2416667","24,6480556"
HD 16141 b,"0,215",HD 16141,"38,8291667","-3,5605556"
HIP 11915,"0,99",HIP 11915,"38,454166683","-19,611944466"
HAT-P-47 b,"0,206",HAT-P-47,"38,308333338","30,360555571"
